店名,住所,台数
モーリーファンタジー上越店,新潟県上越市富岡３４５８番地 上越ショッピングセンターアコーレ２階,2台
上越レジャーランボウル,新潟県上越市下門前薬島８２７－２ 上越レジャーランボウル,1台
PALO十日町店,新潟県十日町市旭町161 リオン・ドール十日町1F,1台
モーリーファンタジー小千谷店,新潟県小千谷市大字平沢新田字荒田３３９ イオン小千谷２階,1台
イトーヨーカドー丸大新潟店,新潟県新潟市中央区本町通り６－１１２２－１ イトーヨーカドー丸大新潟,1台
カプコサーカス新潟東店,新潟県新潟市東区大形本町３－１－２ イオン新潟東,3台
ハローズガーデン　新潟亀田店,新潟県新潟市江南区鵜ノ子４－４６６ アピタ新潟亀田２Ｆ,1台
ハローズガーデン新潟西店,新潟県新潟市西区小新白鳥４７４ アピタ新潟西２階,1台
ベイシア豊栄店ファミリーランドあそびのくに,新潟県新潟市北区かぶとやま２－１－６２ ベイシア新潟豊栄,1台
メジャーロード黒埼店,新潟県新潟市西区山田3303 メジャーロード黒埼,1台
ラウンドワンスタジアム新潟店,新潟県新潟市中央区美咲町２－１－３８ ラウンドワンスタジアム新潟,1台
モーリーファンタジー新発田店,新潟県新発田市住吉町５丁目１１番５号 イオン新発田２階,4台
ナムコランド MEGA ドン・キホーテ柏崎店,新潟県柏崎市東長浜町４－１５ ＭＥＧＡドン・キホーテ柏崎２Ｆ,1台
オーケーコーラル,新潟県燕市佐渡2853 オーケーコーラル,1台
モーリーファンタジー県央店,新潟県燕市井土巻３－６５ イオン県央２階,3台
namco長岡店,新潟県長岡市堺町字浦田31番地 アークガレリア長岡,1台
アピナ長岡店,新潟県長岡市堺東町２２ アピナ長岡,1台
ハローズガーデン長岡店,新潟県長岡市千秋２－２７８ リバーサイド千秋２階,1台
