店名,住所,台数
アピタ田富店,山梨県中央市山之神１３８３－９ アピタ田富,1台
ナムコランド　リバーシティ店,山梨県中央市山ノ神１１２２ オギノリバーシティＳＣ,1台
ハローズガーデン田富店,山梨県中央市山之神１３８３－９ アピタ田富２階,1台
アミュージアム南アルプス,山梨県南アルプス市小笠原1423-1,3台
イオン大月店,山梨県大月市御太刀１－１３－２９ ダイエー大月,1台
スタジオプリモ 甲府店,山梨県甲府市丸の内１－１６－２０ ココリ２Ｆ,1台
モーリーファンタジー湯村店,山梨県甲府市千塚1-9-14 オギノ湯村4F,1台
岡島甲府店プレイランド,山梨県甲府市丸の内１－２１－１５ 岡島百貨岡島甲府,1台
アピタ双葉店,山梨県甲斐市志田６４５－１ ラザウォーク甲斐双葉,2台
アピタ石和店,山梨県笛吹市石和町窪中島１５４ アピタ石和,1台
ハローズガーデン石和店,山梨県笛吹市石和町窪中島１５４ アピタ石和２階,1台
モーリーファンタジー石和店,山梨県笛吹市石和町駅前１６－１ イオン石和,2台
イトーヨーカドー甲府昭和店,山梨県中巨摩郡昭和町西条１３－１ イトーヨーカドー甲府昭和,2台
モーリーファンタジー甲府昭和店,山梨県中巨摩郡昭和町飯喰1505-1 イオン甲府昭和3階,2台
楽市楽座イオンモール甲府店,山梨県中巨摩郡昭和町常永土地区画整理内１街区 イオン甲府昭和,1台
アミュージアム河口湖店,山梨県南都留郡富士河口湖町船津２９８６ 河口湖ショッピングセンターベル３Ｆ,2台
