店名,住所,台数
モーリーファンタジーさくら店,栃木県さくら市桜野１５５５－１ ザ・ビッグエクストラさくら１階,3台
PALO石橋店,栃木県下野市下古山3362-1 ヨークタウン石橋,2台
タイトーステーション佐野新都市店,栃木県佐野市高萩町１３２４－１ イオンモール佐野新都市２階,1台
モーリーファンタジー佐野新都市店,栃木県佐野市高萩町１３２４－１ イオンモール佐野新都市２階,2台
インターパークプラスワン宇都宮店,栃木県宇都宮市インターパーク６丁目５－１ インターパーク宇都宮南,2台
スコナランドトライアル宇都宮店,栃木県宇都宮市睦町5-5 スーパーセンタートライアル宇都宮店1F,1台
セガワールド宇都宮,栃木県宇都宮市東宿郷５－１－７ セガワールド宇都宮,1台
タイトーステーション宇都宮ベルモール店,栃木県宇都宮市陽東６丁目２－１ ベルモール２Ｆ,2台
テクモピアパルテロン宇都宮店,栃木県宇都宮市今泉町２３７番地 福田屋ショッピングプラザ宇都宮２階,2台
テクモピアロックダムインターパーク店,栃木県宇都宮市インターパーク６－１－１ インターパーク宇都宮南２階,2台
ファンタジーランドガルー宇都宮店,栃木県宇都宮市江曽島本町２２－７ アピタ宇都宮２階,1台
プラボ宇都宮店,栃木県宇都宮市簗瀬町１６０６番地１ Ｐ＆Ｄビル,1台
ヨークベニマル御幸ケ原店内プレビプレイランド,栃木県宇都宮市御幸ケ原町５０－１ ヨークベニマル御幸ヶ原,1台
KOKADO TOWN小山店,栃木県小山市中久喜１４６７－１ イオンモール小山２Ｆ,1台
アピナ小山店,栃木県小山市駅南町４－２７－１８ アピナ小山,1台
イトーヨーカドー小山店,栃木県小山市駅東通り２－３－１５ イトーヨーカドー小山,1台
タイトーFステーション小山店,栃木県小山市喜沢1475 おやまゆうえんハーヴェストウォーク,2台
モーリーファンタジー小山店,栃木県小山市中久喜１４６７－１ イオンモール小山２階,3台
モーリーファンタジー今市店,栃木県日光市豊田字若林７９－１ イオン今市２階,2台
namcoイオン栃木店,栃木県栃木市箱森町37-9,1台
ザ・ビッグエクストラ真岡店,栃木県真岡市台町２６６８ ザ・ビッグエクストラ真岡,1台
モーリーファンタジー真岡店,栃木県真岡市台町２６６８ ザ・ビッグエクストラ真岡１階,2台
PALO足利店,栃木県足利市朝倉2-21-16 ヨークタウン足利1F,1台
ドラマ足利店,栃木県足利市朝倉町２４４－１ ドラマ足利,1台
ファンファン足利店,栃木県足利市朝倉町２４５ コムファーストショッピングセンター４Ｆ,1台
セガワールドクロノス,栃木県那須塩原市南郷屋２－１０６－２７ セガワールドクロノス,1台
モーリーファンタジー那須塩原店,栃木県那須塩原市島方４５５ イオンタウン那須塩原１階,3台
ベイシア烏山店ファミリーランドあそびのくに,栃木県那須烏山市城東１８８０ ベイシア烏山,1台
テクモピア鹿沼店,栃木県鹿沼市東末広町１０７３ 福田屋百貨鹿沼３階,2台
ドリームファクトリーアロハ店,栃木県鹿沼市睦町川西城下287-1 ビバモール鹿沼,1台
