店名,住所,台数
ザ・サードプラネット 大津店,滋賀県大津市打出浜14‐30,1台
モーリーファンタジー大津一里山店,滋賀県大津市一里山7-1-1 フォレオ大津一里山2F,2台
モーリーファンタジー大津京店,滋賀県大津市皇子が丘3-11-1 イオン大津京,1台
ラウンドワン浜大津アーカス,滋賀県大津市浜町２－１ 浜大津アーカス,1台
平和堂アル・プラザ堅田,滋賀県大津市本堅田５－２０－１０ アルプラザ堅田,1台
GAME FIELD守山店,滋賀県守山市今浜町２６２０－５ ピエリ守山１Ｆ,1台
平和堂アル・プラザ守山,滋賀県守山市播磨田町１８５－１ モリーブ,1台
namcoビバシティ彦根,滋賀県彦根市竹ヶ鼻町４３－１ ビバシティ彦根２Ｆ,1台
ビバシティ平和堂,滋賀県彦根市竹ヶ鼻町４３－１ ビバシティ彦根,1台
平和堂アル・プラザ八日市,滋賀県東近江市八日市浜野町３－１ ショッピングプラザアピア,1台
プラザパルAP栗東店,滋賀県栗東市綣2-3-22 アル・プラザ栗東2階,1台
平和堂アル・プラザ栗東,滋賀県栗東市綣２－３－２２ アル・プラザ栗東,1台
イオンタウン湖南ゲームコーナー,滋賀県湘南市岩根４５８０ イオンタウン湘南,1台
VIVACE水口,滋賀県甲賀市水口町北脇字岡本地先１７７２－４ ＶＩＶＡＣＥ水口,1台
ナムコランドアルプラザ水口店,滋賀県甲賀市水口町名坂４１９－１ アル・プラザ水口新館２Ｆ,1台
平和堂アル・プラザ水口,滋賀県甲賀市水口町本綾野５６６－１ アル・プラザ水口,1台
ゲームランド草津店,滋賀県草津市新浜町３００番地 イオン草津３階,3台
セガワールド草津,滋賀県草津市西渋川１－２３－２３ エイスクエア２Ｆ,2台
モーリーファンタジー草津店,滋賀県草津市新浜町３００ イオン草津３階,3台
平和堂アル・プラザ草津,滋賀県草津市西渋川１－２３－３０ アルプラザ草津,1台
タイトーFステーション 近江八幡店,滋賀県近江八幡市鷹飼町南3-7 イオン近江八幡,1台
モーリーファンタジーイオン近江八幡店,滋賀県近江八幡市鷹飼町南３丁目７番 イオン近江八幡３階,1台
ユーアイランド近江八幡店,滋賀県近江八幡市桜宮町２０２－１ アル・プラザ近江八幡３Ｆ,1台
平和堂アル・プラザ近江八幡,滋賀県近江八幡市桜宮町２０２－１ アル・プラザ近江八幡,1台
ザ・ビッグエクストラ野洲店,滋賀県野洲市乙窪長繰４８０－１ イオンタウン野洲,1台
ACT長浜,滋賀県長浜市川崎町字八王子町３７５ ＡＣＴ長浜,1台
モーリーファンタジー長浜店,滋賀県長浜市山階町２７１－１ イオン長浜２階,2台
平和堂アル・プラザ長浜,滋賀県長浜市小堀町４５０ アルプラザ長浜,1台
平和堂今津店,滋賀県高島市今津町今津１６８８ 今津ショッピングセンターリプル,1台
