店名,住所,台数
ゲームファンタジアン岡崎店,愛知県岡崎市錦町２番地４,1台
安城メトロポリス,愛知県安城市浜富町６番地８,3台
コムテックタワー,愛知県名古屋市中村区名駅４−１０−２０,2台
ｎａｍｃｏ名古屋駅前店,愛知県名古屋市中村区椿町６−６　ビックカメラ名古屋駅西店Ｂ１Ｆ,3台
名古屋レジャーランドささしま店,愛知県名古屋市中村区平池町４丁目６０番１４号　マーケットスクエアささしま１Ｆ,9台
ラウンドワン中川一号線店,愛知県名古屋市中川区法蔵町２−２３,3台
中川メトロポリス,愛知県名古屋市中川区江松３−１１０,3台
楽市楽座イオンモール名古屋茶屋,愛知県名古屋市港区西茶屋２−１１　イオンモール名古屋茶屋店　３階,2台
セガ金山,愛知県名古屋市熱田区金山１−１９−２,3台
名古屋レジャーランド　内田橋店,愛知県名古屋市南区内田橋２−２６−２２,3台
プラサカプコン徳重店,愛知県名古屋市緑区鳴海町字徳重１８−４４　ヒルズウォーク徳重ガーデンズ　ガーデンズ棟　２階,3台
名古屋レジャーランド大高店,愛知県名古屋市緑区忠治山２０１番地,3台
キングジョイ,愛知県名古屋市中区栄三丁目３番３２,3台
タイトーフェドラ大須店,愛知県名古屋市中区大須３丁目３０−３１,3台
Ｍ’Ｓ　ＰＡＲＫ豊田店,愛知県豊田市寿町３丁目２１番地、２２番地,3台
楽市楽座イオンモール扶桑店,愛知県丹羽郡扶桑町南山名字高塚５番地,3台
ファンタジアン長久手店,愛知県長久手市武蔵塚７０５,3台
ラウンドワン名古屋西春店,愛知県北名古屋市宇福寺神明１５番地,3台
ゲームゾーン一宮店,愛知県一宮市羽衣２丁目５番１,3台
