店名,住所,台数
プレイランド奈良,奈良県奈良市二条大路南　１−３−１　イトーヨーカドー奈良店３Ｆ,0台
モーリーファンタジー橿原,奈良県橿原市曲川町７−２０−１イオン２Ｆ,0台
イオン橿原,奈良県橿原市曲川町７−２０−１　イオン２Ｆ玩具売場,0台
イオン登美ヶ丘,奈良県生駒市鹿畑町３０２７番地　イオンモール奈良登美ヶ丘２Ｆ玩具売場,0台
モーリーファンタジー登美ヶ丘,奈良県生駒市鹿畑町３０２７番地イオンモール奈良登美ヶ丘２Ｆ,0台
トイザらス奈良,奈良県奈良市柏木町４５６−１,0台
アピタ大和郡山,奈良県大和郡山市田中町字宮西５１７番　玩具売場,0台
ザ・ビックエクストラ大安寺,奈良県奈良市南京終町１丁目１２８−１　玩具売場,0台
アピタ西大和,奈良県北葛城郡上牧町上牧３０００−１　玩具売場,0台
西友王寺,奈良県北葛城郡王寺町久度２−２−１　玩具売場,0台
イズミヤ広陵,奈良県北葛城郡広陵町大字安部４５０−１　玩具売場,0台
ライフ大淀,奈良県吉野郡大淀町土田２４３−１　玩具売場,0台
モーリーファンタジー天理,奈良県天理市東井戸堂町３８１ザ・ビッグエクストラ１Ｆ,0台
モーリーファンタジー大和郡山,奈良県大和郡山市下三橋　７４１　イオン３Ｆ,0台
モーリーファンタジー桜井,奈良県桜井市上之庄２７８−１イオン２Ｆ,0台
ジョーシン郡山イオンモール,奈良県大和郡山市下三橋町７４１−１７０　イオンモール大和郡山１Ｆ,0台
イオン五條,奈良県五條市今井２−１５０玩具売場,0台
イオン大和郡山,奈良県大和郡山市下三橋町７４１玩具売場,0台
モーリーファンタジー大和高田,奈良県大和高田市幸町３番地６,0台
ザ・ビッグエクストラ天理,奈良県天理市東井戸堂町３８１　玩具売場,0台
スーパーセンター広陵,奈良県北葛城郡広陵町大字安部４５０−１,0台
イズミヤ学園前,奈良県奈良市学園中４丁目５３９番地１　玩具売場,0台
楽市楽座イオンモール大和郡山,奈良県大和郡山市下三橋町７４１イオンモール大和郡山店３階,0台
ライフ御所,奈良県御所市東松本３０　玩具売場,0台
ハローズガーデン大和郡山,奈良県大和郡山市田中町字宮西５１７アピタ大和郡山店２Ｆ,0台
ジョーシン郡山,奈良県大和郡山市山市横田６９３−１,0台
ライフ学園前,奈良県奈良市中登美ヶ丘３−３,0台
